time,open,high,low,close,Chars,EMA,EMA2,EMA3,Volume,%K,%D,Shapes,Shapes,Shapes,Histogram,MACD,Signal
2002-05-30,61.38,61.38,61.38,61.38,NaN,63.25747823790711,63.036331947328634,NaN,NaN,2,4,NaN,NaN,NaN,-0.32579616628405456,-0.557584084832925,-0.23178791854887043
2002-05-31,62.16,62.16,62.16,62.16,NaN,63.15770748900646,63.00196598860986,NaN,NaN,11,8,NaN,NaN,NaN,-0.2688629429332288,-0.5678665972154064,-0.2990036542821776
2002-06-03,58.7,58.7,58.7,58.7,NaN,62.75246135364224,62.83326144003693,NaN,NaN,3,4,NaN,NaN,NaN,-0.4371672193410433,-0.8454626784584818,-0.4082954591174385
2002-06-05,58.85,58.85,58.85,58.85,NaN,62.39769213967476,62.67705510905509,NaN,NaN,2,2,NaN,NaN,NaN,-0.5064450498386759,-1.0413517714157834,-0.5349067215771075
2002-06-06,56.39,56.39,56.39,56.39,NaN,61.851538308795234,62.43050392830783,NaN,NaN,0,0,NaN,NaN,NaN,-0.6754331760022078,-1.3791981915798672,-0.7037650155776595
2002-06-07,56.92,56.92,56.92,56.92,NaN,61.403216644359304,62.214405735040856,NaN,NaN,3,2,NaN,NaN,NaN,-0.7057048833175595,-1.5858961197246089,-0.8801912364070493
2002-06-10,57.05,57.05,57.05,57.05,NaN,61.00746967669028,62.011880019941216,NaN,NaN,5,3,NaN,NaN,NaN,-0.6713635551119532,-1.7193956802969907,-1.0480321251850375
2002-06-11,55.14,55.14,55.14,55.14,NaN,60.47406334244571,61.74239452896313,NaN,NaN,1,1,NaN,NaN,NaN,-0.7269821180182654,-1.9567597727078692,-1.2297776546896038
2002-06-12,54.02,54.02,54.02,54.02,NaN,59.88733031131428,61.43955552782732,NaN,NaN,0,0,NaN,NaN,NaN,-0.7839972871716685,-2.2097742636541895,-1.425776976482521
2002-06-13,52.68,52.68,52.68,52.68,NaN,59.23211846483116,61.0960435463439,NaN,NaN,0,0,NaN,NaN,NaN,-0.8511519903199509,-2.4897169643824597,-1.6385649740625088
2002-06-14,52.77,52.77,52.77,52.77,NaN,58.64465314984651,60.76953203472257,NaN,NaN,0,0,NaN,NaN,NaN,-0.8279423896183364,-2.6734929610854294,-1.845550571467093
2002-06-17,55.92,55.92,55.92,55.92,NaN,58.39695740895137,60.57935430787071,NaN,NaN,16,10,NaN,NaN,NaN,-0.5521417800684052,-2.5357277965525995,-1.9835860164841943
2002-06-18,56.06,56.06,56.06,56.06,NaN,58.18450673541034,60.4021247271699,NaN,NaN,22,17,NaN,NaN,NaN,-0.3233126686524672,-2.387726852299778,-2.064414183647311
2002-06-19,53.3,53.3,53.3,53.3,NaN,57.74046066855485,60.123610031986765,NaN,NaN,10,11,NaN,NaN,NaN,-0.32025431252032277,-2.4647320742977143,-2.1444777617773916
2002-06-20,52.39,52.39,52.39,52.39,NaN,57.25405515323168,59.82033120720297,NaN,NaN,3,5,NaN,NaN,NaN,-0.3400724135541311,-2.5695682787200553,-2.2294958651659242
2002-06-21,51.72,51.72,51.72,51.72,NaN,56.75095923021062,59.50267115986168,NaN,NaN,1,1,NaN,NaN,NaN,-0.35709880400857985,-2.675869370176649,-2.318770566168069
2002-06-24,50.45,50.45,50.45,50.45,NaN,56.17814475473693,59.14766444771024,NaN,NaN,0,0,NaN,NaN,NaN,-0.40895955071650336,-2.829970004563698,-2.421010453847195
2002-06-25,49.88,49.88,49.88,49.88,NaN,55.605586140669935,58.78422662623141,NaN,NaN,0,0,NaN,NaN,NaN,-0.43433070481977465,-2.9639238348719132,-2.5295931300521386
2002-06-26,48.32,48.32,48.32,48.32,NaN,54.94326012788176,58.37386479775174,NaN,NaN,0,0,NaN,NaN,NaN,-0.5039582572923362,-3.1595409516675588,-2.6555826943752225
2002-06-27,50.65,50.65,50.65,50.65,NaN,54.55296375261978,58.07096813901638,NaN,NaN,11,7,NaN,NaN,NaN,-0.34827553645981535,-3.0909271149499915,-2.742651578490176
2002-06-28,52.21,52.21,52.21,52.21,NaN,54.33996704783617,57.84112625121182,NaN,NaN,21,16,NaN,NaN,NaN,-0.10787965752767192,-2.877501150399766,-2.769621492872094
2002-07-01,50.43,50.43,50.43,50.43,NaN,53.98451549803288,57.55049384920351,NaN,NaN,17,16,NaN,NaN,NaN,-0.03989427906393228,-2.8194893417020097,-2.7795950626380774
2002-07-02,46.5,46.5,46.5,46.5,NaN,53.304104998211706,57.11714114923475,NaN,NaN,5,8,NaN,NaN,NaN,-0.2206534181031281,-3.0554118352669875,-2.8347584171638593
2002-07-03,44.74,44.74,44.74,44.74,NaN,52.52554999837428,56.63176306495103,NaN,NaN,1,2,NaN,NaN,NaN,-0.40885786471452734,-3.3458307480570184,-2.936972883342491
2002-07-05,46.79,46.79,46.79,46.79,NaN,52.004136362158434,56.245811572207856,NaN,NaN,9,6,NaN,NaN,NaN,-0.3477857288657109,-3.3717050444246297,-3.023919315558919
2002-07-08,47.65,47.65,47.65,47.65,NaN,51.608305783780395,55.90872092231735,NaN,NaN,18,14,NaN,NaN,NaN,-0.20882370861597943,-3.284948951328893,-3.0761252427129135
2002-07-09,46.13,46.13,46.13,46.13,NaN,51.1102779852549,55.52524167046177,NaN,NaN,13,12,NaN,NaN,NaN,-0.17973652494031755,-3.3007958988883104,-3.121059373947993
2002-07-10,42.04,42.04,42.04,42.04,NaN,50.28570725932264,54.99640866377699,NaN,NaN,4,6,NaN,NaN,NaN,-0.38464329854663815,-3.6018634971312906,-3.2172201985846525
2002-07-11,40.1,40.1,40.1,40.1,NaN,49.35973387211149,54.41223577500142,NaN,NaN,1,2,NaN,NaN,NaN,-0.5873867426055055,-3.951453626841534,-3.3640668842360286
2002-07-12,38.13,38.13,38.13,38.13,NaN,48.33884897464681,53.773716725001364,NaN,NaN,0,0,NaN,NaN,NaN,-0.7787218639714717,-4.337469214200368,-3.5587473502288964
2002-07-15,35.19,35.19,35.19,35.19,NaN,47.14349906786074,53.04494352009935,NaN,NaN,0,0,NaN,NaN,NaN,-1.0130046357170688,-4.825003144875232,-3.8119985091581636
2002-07-16,32.71,32.71,32.71,32.71,NaN,45.831362788964306,52.24749475460526,NaN,NaN,0,0,NaN,NaN,NaN,-1.2302597048268424,-5.349823140191717,-4.119563435364874
2002-07-17,34.45,34.45,34.45,34.45,NaN,44.796693444513004,51.54955378383643,NaN,NaN,4,2,NaN,NaN,NaN,-1.153338718052396,-5.561236832930369,-4.407898114877973
2002-07-18,30.92,30.92,30.92,30.92,NaN,43.53517585864819,50.74055167466637,NaN,NaN,1,0,NaN,NaN,NaN,-1.2297565999038174,-5.9450938647577445,-4.715337264853927
2002-07-19,27.47,27.47,27.47,27.47,NaN,42.074705326043805,49.82798102075789,NaN,NaN,0,0,NaN,NaN,NaN,-1.3903700851503986,-6.453299871291925,-5.0629297861415266
2002-07-22,23.4,23.4,23.4,23.4,NaN,40.377004841858,48.79158960817915,NaN,NaN,0,0,NaN,NaN,NaN,-1.6317341360672888,-7.102597456225638,-5.470863320158349
2002-07-23,18.53,18.53,18.53,18.53,NaN,38.39091349259819,47.604860603936835,NaN,NaN,0,0,NaN,NaN,NaN,-1.9583934536558063,-7.918855137228107,-5.9604616835723006
2002-07-24,21.88,21.88,21.88,21.88,NaN,36.88992135690744,46.59604254103735,NaN,NaN,6,4,NaN,NaN,NaN,-1.7923453993389256,-8.200893432745957,-6.4085480334070315
2002-07-25,23.4,23.4,23.4,23.4,NaN,35.66356486991586,45.68639381393785,NaN,NaN,11,8,NaN,NaN,NaN,-1.4388836300954706,-8.20715257102637,-6.768268940930899
2002-07-26,25.16,25.16,25.16,25.16,NaN,34.70869533628714,44.88143719378342,NaN,NaN,16,12,NaN,NaN,NaN,-0.9678878789892185,-7.978128789667423,-7.010240910678204
2002-07-29,31.98,31.98,31.98,31.98,NaN,34.460632123897405,44.375498480301715,NaN,NaN,31,24,NaN,NaN,NaN,-0.1227910894423605,-7.163729772481155,-7.040938683038794
2002-07-30,32.29,32.29,32.29,32.29,NaN,34.26330193081582,43.90155736342714,NaN,NaN,37,32,NaN,NaN,NaN,0.49731048757123375,-6.419300573574752,-6.916611061145986
2002-07-31,32.07,32.07,32.07,32.07,NaN,34.0639108461962,43.43757472172411,NaN,NaN,40,36,NaN,NaN,NaN,0.9089258418941597,-5.780453758778286,-6.689379600672446
2002-08-01,30.25,30.25,30.25,30.25,NaN,33.71719167836018,42.920414928715324,NaN,NaN,39,38,NaN,NaN,NaN,1.0641086258894434,-5.359243818310642,-6.423352444200085
2002-08-02,26.56,26.56,26.56,26.56,NaN,33.06653788941834,42.278830029550015,NaN,NaN,31,32,NaN,NaN,NaN,0.9286651546188898,-5.262521000926473,-6.1911861555453624
2002-08-05,24.56,24.56,24.56,24.56,NaN,32.29321626310758,41.58397394995982,NaN,NaN,23,25,NaN,NaN,NaN,0.7238981836024712,-5.286313426042273,-6.010211609644744
2002-08-06,27.46,27.46,27.46,27.46,NaN,31.853832966461436,41.030092618588846,NaN,NaN,27,26,NaN,NaN,NaN,0.7974714512633421,-5.013372295565567,-5.810843746828909
2002-08-07,28.92,28.92,28.92,28.92,NaN,31.587120878601304,40.555187025703006,NaN,NaN,34,30,NaN,NaN,NaN,0.9479311212690309,-4.62592984524262,-5.573860966511651
2002-08-08,30.85,30.85,30.85,30.85,NaN,31.52010988963755,40.174591456067596,NaN,NaN,45,40,NaN,NaN,NaN,1.166528129424985,-4.1157008047304195,-5.2822289341554045
